reading_id,station,recorded_at,temp_c,humidity,status,battery_pct,placement
93,alpha-1,04/03/2025 12:58,17.4,74.3,ok,58.6,outdoor
94,alpha-1,04/03/2025 13:39,N/A,57%,ok,17.4,indoor
95,ALPHA-1,2025-03-04 14:07:00,21.6 C,31.2,offline,71.5,Outdoor
96,ALPHA-1,2025-03-04 15:22:00,29.2,27.5,ok,32.2,indoor
97,CHARLIE-3,2025-03-04T15:48:00,12.1 C,95.8,Degraded,9.1,outdoor
98,BRAVO-2,04/03/2025 16:38,N/A,65.7,Offline,68.9,
99,BRAVO-2,04/03/2025 17:29,10.8,65%,DEGRADED,14.0,
100,alpha-1,2025-03-04 18:09:00,,21.8,Offline,75.3,Outdoor
101,alpha-1,04/03/2025 18:54,,-999,Offline,32.1,indoor
102,bravo-2,2025-03-04T19:52:00,20.4,48.2,ok,32.4,Outdoor
103,alpha-1,2025-03-04T20:46:00,7.7 C,67%,DEGRADED,32.8,outdoor
104,CHARLIE-3,04/03/2025 21:15,15.1 C,82%,DEGRADED,72.6,Outdoor
105,bravo-2,2025-03-04T21:42:00,,43%,Degraded,61.1,Outdoor
106,ALPHA-1,04/03/2025 23:03,20.8 C,81.6,Degraded,17.3,indoor
107,BRAVO-2,05/03/2025 00:09,23.1,54%,ok,6.9,Outdoor
108,bravo-2,2025-03-05 01:36:00,19.1,60%,DEGRADED,83.4,indoor
109,BRAVO-2,05/03/2025 02:15,19.2,28%,offline,15.9,indoor
110,BRAVO-2,2025-03-05T03:42:00,18.6 C,57.1,Offline,72.0,
111,BRAVO-2,2025-03-05T04:03:00,14.9 C,82.3,offline,47.7,
112,alpha-1,2025-03-05 04:31:00,N/A,37.9,offline,88.1,outdoor
113,DELTA-4,2025-03-05T05:16:00,16.3,82.9,DEGRADED,21.0,Outdoor
114,CHARLIE-3,05/03/2025 06:41,8.3,28%,Degraded,8.2,outdoor
115,alpha-1,2025-03-05 08:00:00,15.5,77.9,OK,92.2,
116,DELTA-4,2025-03-05T09:23:00,18.9,-999,DEGRADED,99.0,outdoor
117,BRAVO-2,2025-03-05T10:16:00,,89%,Offline,28.4,Outdoor
118,bravo-2,2025-03-05 11:16:00,18.5,94.7,offline,25.0,
119,BRAVO-2,2025-03-05T12:21:00,,49.4,offline,19.3,
120,BRAVO-2,2025-03-05T13:36:00,10.8,64%,Offline,82.9,
121,DELTA-4,2025-03-05 14:11:00,N/A,-999,offline,5.2,outdoor
122,BRAVO-2,2025-03-05T15:29:00,30.2,65%,Degraded,98.5,Outdoor
123,alpha-1,05/03/2025 16:01,0.9,79%,DEGRADED,58.2,indoor
124,DELTA-4,2025-03-05 16:45:00,16.5,70.3,OK,11.2,indoor
125,bravo-2,05/03/2025 17:55,17.4,37.5,offline,47.2,
126,BRAVO-2,2025-03-05T18:43:00,13.7,77.0,Offline,14.3,outdoor
127,ALPHA-1,2025-03-05 19:12:00,16.6,89%,ok,41.5,outdoor
128,DELTA-4,2025-03-05T19:50:00,25.3,-999,Degraded,88.6,outdoor
129,DELTA-4,2025-03-05 20:51:00,27.3,56%,OK,29.0,outdoor
130,alpha-1,2025-03-05T21:25:00,18.9,77.0,offline,66.0,
131,CHARLIE-3,2025-03-05T22:11:00,3.2,57.9,Degraded,20.0,outdoor
132,DELTA-4,05/03/2025 22:55,25.9,67%,Degraded,39.4,
133,alpha-1,2025-03-06T00:09:00,25.4,41.9,DEGRADED,61.4,indoor
134,ALPHA-1,06/03/2025 00:31,15.8,91.3,offline,71.2,Outdoor
135,bravo-2,2025-03-06T01:27:00,31.0,90%,Degraded,92.0,outdoor
136,BRAVO-2,2025-03-06 02:16:00,15.1,65.5,offline,44.0,outdoor
137,alpha-1,2025-03-06 02:48:00,15.0,76%,Degraded,44.1,indoor
138,bravo-2,2025-03-06 04:01:00,20.9,89%,OK,55.6,
139,DELTA-4,2025-03-06T04:41:00,-1.9,87.1,Degraded,78.5,indoor
140,CHARLIE-3,2025-03-06T05:37:00,,75%,OK,76.9,Outdoor
141,bravo-2,2025-03-06T06:02:00,23.1,34.3,Degraded,51.6,Outdoor
142,bravo-2,06/03/2025 07:31,26.6,32.4,Offline,41.4,Outdoor
143,bravo-2,2025-03-06 08:48:00,18.3,-999,ok,40.0,outdoor
144,bravo-2,06/03/2025 09:25,11.8,36.5,ok,52.0,
145,bravo-2,06/03/2025 10:13,28.2,25.7,DEGRADED,52.7,Outdoor
146,alpha-1,2025-03-06 11:18:00,16.6 C,34%,ok,86.7,
147,CHARLIE-3,2025-03-06 12:16:00,1.5,32.8,offline,54.1,outdoor
148,bravo-2,2025-03-06 13:33:00,15.0,36%,ok,42.3,Outdoor
149,alpha-1,2025-03-06 14:53:00,16.4 C,89%,DEGRADED,77.8,outdoor
150,CHARLIE-3,2025-03-06 15:17:00,20.5,24.5,OK,96.1,Outdoor
151,bravo-2,2025-03-06T16:36:00,13.1 C,91%,OK,76.3,outdoor
152,CHARLIE-3,2025-03-06 17:15:00,18.4 C,81%,DEGRADED,37.1,outdoor
153,CHARLIE-3,06/03/2025 17:59,N/A,90%,ok,62.6,outdoor
154,alpha-1,06/03/2025 18:34,N/A,80%,DEGRADED,60.8,
155,DELTA-4,2025-03-06 19:23:00,32.8,31.3,Degraded,77.8,outdoor
156,BRAVO-2,2025-03-06 19:58:00,24.1,79%,Offline,38.1,indoor
157,CHARLIE-3,2025-03-06T20:40:00,,25%,ok,84.5,Outdoor
158,alpha-1,2025-03-06 21:19:00,N/A,86.5,OK,94.4,indoor
159,CHARLIE-3,06/03/2025 22:41,10.9 C,73%,ok,25.2,Outdoor
160,alpha-1,06/03/2025 23:01,29.3,64.4,OK,76.2,indoor
161,DELTA-4,2025-03-06T23:55:00,N/A,42.7,Offline,81.6,Outdoor
162,bravo-2,07/03/2025 01:12,22.1,88.5,Degraded,62.0,
163,BRAVO-2,2025-03-07 02:37:00,19.0,-999,OK,60.7,outdoor
164,CHARLIE-3,2025-03-07T03:08:00,13.7,91.5,OK,83.7,outdoor
165,BRAVO-2,2025-03-07T04:33:00,17.5,55.2,ok,88.7,
166,ALPHA-1,2025-03-07 05:51:00,19.6 C,40.5,ok,30.4,indoor
167,alpha-1,2025-03-07 06:29:00,15.2,76.7,ok,72.4,indoor
168,DELTA-4,2025-03-07 07:21:00,,62%,Degraded,92.0,
169,ALPHA-1,2025-03-07 07:41:00,21.1,64%,Offline,11.2,Outdoor
170,alpha-1,2025-03-07 08:33:00,17.9,47%,offline,87.3,Outdoor
171,DELTA-4,07/03/2025 09:03,18.0,57.1,offline,20.3,outdoor
172,bravo-2,07/03/2025 09:41,24.2,85%,offline,33.5,Outdoor
173,DELTA-4,2025-03-07 10:35:00,18.7,66%,Offline,14.5,
174,BRAVO-2,07/03/2025 10:58,18.5,84.3,ok,73.3,
175,CHARLIE-3,07/03/2025 11:50,22.0,38.9,Offline,76.6,Outdoor
176,alpha-1,2025-03-07 12:40:00,,80%,Degraded,64.9,indoor
177,alpha-1,2025-03-07T13:44:00,14.1,31.5,Offline,53.4,
178,CHARLIE-3,2025-03-07 15:04:00,14.0,91%,Offline,86.1,indoor
179,alpha-1,2025-03-07 16:26:00,22.9,27.5,DEGRADED,92.6,
180,DELTA-4,2025-03-07T16:53:00,16.9,-999,Degraded,91.9,Outdoor
181,DELTA-4,2025-03-07T17:17:00,N/A,49.9,Offline,42.6,Outdoor
182,BRAVO-2,2025-03-07 18:20:00,17.1,25.8,offline,29.5,outdoor
183,alpha-1,2025-03-07 19:41:00,2.5,43%,Offline,59.6,
184,ALPHA-1,2025-03-07T20:32:00,15.1,42.6,ok,24.5,
185,BRAVO-2,2025-03-07T21:17:00,20.1,28%,DEGRADED,44.6,
186,CHARLIE-3,2025-03-07 22:13:00,,29.5,offline,95.0,outdoor
187,ALPHA-1,2025-03-07 23:12:00,12.0,81%,DEGRADED,11.2,outdoor
188,BRAVO-2,2025-03-07 23:46:00,13.5,85.1,DEGRADED,37.3,indoor
189,BRAVO-2,2025-03-08 00:10:00,25.3,94.8,Offline,47.6,outdoor
190,BRAVO-2,2025-03-08 01:03:00,28.0,44.1,offline,25.8,indoor
191,DELTA-4,2025-03-08T02:20:00,18.7,46.9,Degraded,19.0,outdoor
192,alpha-1,08/03/2025 03:41,28.8 C,27.2,offline,11.9,indoor
193,DELTA-4,2025-03-08T04:34:00,12.4,27.0,Offline,44.8,outdoor
194,BRAVO-2,2025-03-08T05:20:00,13.9,68.5,DEGRADED,74.1,indoor
195,bravo-2,2025-03-08 06:08:00,,79.8,OK,62.1,outdoor
196,DELTA-4,2025-03-08 07:16:00,17.7,78%,ok,29.4,Outdoor
197,CHARLIE-3,2025-03-08T08:12:00,N/A,30%,OK,22.3,
198,BRAVO-2,08/03/2025 09:12,23.1,88.3,DEGRADED,53.5,Outdoor
199,DELTA-4,2025-03-08T10:40:00,14.3,76.4,Degraded,62.7,outdoor
200,CHARLIE-3,2025-03-08T12:00:00,19.2,71.7,OK,87.1,outdoor
201,bravo-2,08/03/2025 12:51,21.1,52.6,OK,94.6,indoor
202,CHARLIE-3,2025-03-08T13:19:00,25.2,91.2,Offline,69.1,Outdoor
203,BRAVO-2,2025-03-08 13:53:00,29.2,84.1,DEGRADED,42.2,indoor
204,DELTA-4,2025-03-08 14:41:00,28.6,33.7,Offline,15.9,indoor
205,alpha-1,2025-03-08T16:08:00,24.7 C,43%,Degraded,87.1,outdoor
206,BRAVO-2,08/03/2025 16:32,19.3,81%,DEGRADED,21.3,indoor
207,alpha-1,2025-03-08 17:06:00,,55%,DEGRADED,71.0,indoor
208,DELTA-4,2025-03-08T17:32:00,,51%,OK,4.6,
209,DELTA-4,2025-03-08T18:41:00,27.1,75%,OK,14.6,
210,BRAVO-2,2025-03-08 19:56:00,27.1 C,-999,ok,71.0,Outdoor
211,ALPHA-1,08/03/2025 20:47,7.3,94%,offline,20.4,indoor
212,alpha-1,2025-03-08 21:46:00,,91%,DEGRADED,40.6,indoor
213,BRAVO-2,2025-03-08 22:35:00,13.9,80.9,offline,73.3,outdoor
214,DELTA-4,2025-03-08 23:10:00,12.6,62%,Offline,82.3,outdoor
215,alpha-1,2025-03-09T00:40:00,6.1,67%,Offline,28.6,outdoor
216,alpha-1,2025-03-09 01:04:00,10.1,68%,offline,97.7,Outdoor
217,CHARLIE-3,2025-03-09T02:22:00,9.5,27.7,OK,98.8,indoor
218,BRAVO-2,2025-03-09 03:34:00,17.0,35%,Degraded,95.3,Outdoor
219,DELTA-4,2025-03-09 04:44:00,16.9,91.0,ok,30.8,outdoor
220,alpha-1,2025-03-09 05:34:00,,85.7,DEGRADED,81.6,Outdoor
221,CHARLIE-3,2025-03-09T06:33:00,12.7,59.9,DEGRADED,87.7,Outdoor
222,ALPHA-1,2025-03-09T07:12:00,18.3,52%,ok,29.3,Outdoor
223,BRAVO-2,09/03/2025 07:57,8.1,51.8,DEGRADED,72.9,indoor
224,alpha-1,2025-03-09 08:39:00,18.7,61.4,DEGRADED,77.8,outdoor
225,ALPHA-1,2025-03-09T09:39:00,21.6,35%,OK,34.0,
226,ALPHA-1,2025-03-09 11:02:00,N/A,57%,Offline,88.0,indoor
227,ALPHA-1,2025-03-09 11:40:00,19.7 C,67.0,DEGRADED,5.1,indoor
228,bravo-2,09/03/2025 13:05,13.7,90%,Offline,89.3,Outdoor
229,DELTA-4,2025-03-09 14:08:00,14.7,-999,Degraded,70.7,Outdoor
230,CHARLIE-3,2025-03-09T14:50:00,N/A,52%,DEGRADED,20.0,Outdoor
231,BRAVO-2,2025-03-09T15:41:00,8.5,36.9,ok,57.2,Outdoor
232,BRAVO-2,09/03/2025 16:45,9.9 C,55%,DEGRADED,83.3,
233,bravo-2,2025-03-09 17:29:00,8.2,51%,offline,95.5,
234,alpha-1,09/03/2025 18:30,17.0 C,47.4,Degraded,69.4,Outdoor
235,CHARLIE-3,2025-03-09 19:37:00,22.5,84%,Offline,80.8,
236,bravo-2,2025-03-09T20:59:00,18.9,36.3,Offline,44.9,outdoor
237,CHARLIE-3,2025-03-09 21:22:00,26.9 C,21.1,offline,24.6,Outdoor
238,CHARLIE-3,2025-03-09T21:52:00,,-999,offline,25.2,Outdoor
239,CHARLIE-3,2025-03-09 22:43:00,16.7 C,52.1,Offline,83.3,Outdoor
240,DELTA-4,10/03/2025 00:02,14.9,79%,Offline,14.4,indoor
241,BRAVO-2,2025-03-10T00:57:00,15.2,31.0,DEGRADED,55.1,indoor
242,ALPHA-1,10/03/2025 01:42,22.6,88.8,DEGRADED,54.1,outdoor
243,CHARLIE-3,2025-03-10T02:33:00,28.6,45.5,ok,95.2,Outdoor
244,BRAVO-2,10/03/2025 03:51,23.1,86.1,Offline,44.6,outdoor
245,DELTA-4,2025-03-10 04:34:00,26.0,67.8,DEGRADED,37.1,Outdoor
246,CHARLIE-3,2025-03-10 05:14:00,N/A,41.0,DEGRADED,34.2,
247,BRAVO-2,10/03/2025 05:55,,56.6,Degraded,77.4,indoor
248,bravo-2,2025-03-10T06:40:00,15.2,31.1,DEGRADED,86.3,
249,ALPHA-1,10/03/2025 07:05,19.8 C,25.1,Offline,98.2,Outdoor
250,ALPHA-1,2025-03-10 08:20:00,22.0,41%,Degraded,71.2,Outdoor
251,BRAVO-2,10/03/2025 08:53,20.8 C,48%,ok,99.4,indoor
252,BRAVO-2,10/03/2025 09:14,14.8,86.9,offline,41.5,outdoor
253,ALPHA-1,10/03/2025 09:46,21.5 C,29.0,ok,95.1,
254,DELTA-4,2025-03-10T10:27:00,N/A,30.6,offline,90.0,
255,CHARLIE-3,10/03/2025 11:10,,72%,ok,8.3,indoor
256,DELTA-4,10/03/2025 12:31,N/A,58%,offline,14.2,Outdoor
257,alpha-1,2025-03-10 13:46:00,N/A,89%,Offline,18.5,Outdoor
258,DELTA-4,2025-03-10 14:35:00,12.5,52.4,Offline,7.8,outdoor
259,alpha-1,2025-03-10T15:41:00,2.7,35%,Degraded,16.5,Outdoor
260,BRAVO-2,10/03/2025 16:03,25.7 C,79%,offline,41.7,
261,DELTA-4,10/03/2025 17:05,20.7,57.1,Offline,49.5,Outdoor
262,BRAVO-2,10/03/2025 18:21,N/A,36.7,ok,39.3,outdoor
263,CHARLIE-3,2025-03-10T19:09:00,,56.1,ok,47.4,
264,BRAVO-2,2025-03-10 20:15:00,,48%,ok,64.5,
265,ALPHA-1,2025-03-10T21:07:00,11.4,27.7,Degraded,83.5,outdoor
266,ALPHA-1,2025-03-10 21:36:00,21.1,-999,Degraded,45.9,Outdoor
267,DELTA-4,2025-03-10T23:03:00,7.7 C,84%,ok,51.2,outdoor
268,alpha-1,10/03/2025 23:31,9.1,-999,offline,53.4,outdoor
269,DELTA-4,2025-03-11 00:54:00,,47.8,DEGRADED,36.0,outdoor
270,CHARLIE-3,11/03/2025 01:42,,69.5,offline,50.6,Outdoor
271,bravo-2,2025-03-11 02:45:00,12.6 C,45.1,ok,19.7,
272,ALPHA-1,11/03/2025 04:14,16.1,95%,offline,72.4,
273,ALPHA-1,11/03/2025 05:21,N/A,42%,Offline,61.8,indoor
274,bravo-2,2025-03-11 06:08:00,33.2,-999,OK,85.7,indoor
275,ALPHA-1,2025-03-11T06:59:00,11.3,32%,DEGRADED,14.2,
276,DELTA-4,2025-03-11 07:55:00,12.1,34.9,Degraded,67.0,outdoor
277,bravo-2,2025-03-11 09:17:00,21.8,-999,DEGRADED,11.7,
278,CHARLIE-3,11/03/2025 10:47,19.3,26%,DEGRADED,68.3,
279,CHARLIE-3,2025-03-11 11:11:00,,-999,Degraded,65.0,outdoor
280,alpha-1,11/03/2025 11:52,11.3,88.9,ok,36.5,indoor
281,BRAVO-2,2025-03-11 12:39:00,N/A,54%,Offline,86.8,Outdoor
282,alpha-1,2025-03-11T13:28:00,19.0,84.3,offline,7.7,outdoor
283,BRAVO-2,2025-03-11 14:01:00,7.8 C,28%,DEGRADED,6.7,
284,BRAVO-2,2025-03-11T14:47:00,,-999,Degraded,56.6,
285,alpha-1,2025-03-11T15:57:00,14.1,51%,OK,41.5,indoor
286,CHARLIE-3,2025-03-11 16:20:00,N/A,29.3,Degraded,19.7,indoor
287,ALPHA-1,2025-03-11 16:51:00,21.3,29.6,ok,62.5,Outdoor
288,ALPHA-1,2025-03-11 17:41:00,,75.5,DEGRADED,35.5,indoor
289,BRAVO-2,2025-03-11T18:25:00,-3.8,52.4,OK,51.7,outdoor
290,CHARLIE-3,11/03/2025 19:54,15.2 C,85.8,Degraded,99.0,
291,DELTA-4,2025-03-11 21:14:00,17.1,91.8,ok,56.6,
292,ALPHA-1,2025-03-11 21:45:00,21.3,93.2,DEGRADED,26.5,
293,bravo-2,2025-03-11T23:05:00,19.7,70.0,Offline,95.2,indoor
294,bravo-2,2025-03-12 00:11:00,,65.8,Offline,65.8,Outdoor
295,DELTA-4,2025-03-12T01:38:00,17.3,63.8,DEGRADED,23.0,Outdoor
296,CHARLIE-3,2025-03-12T02:09:00,14.8,83.8,Offline,64.7,
297,CHARLIE-3,2025-03-12T03:04:00,,77%,Degraded,55.6,outdoor
298,ALPHA-1,2025-03-12T04:04:00,17.6 C,73%,offline,76.8,outdoor
299,DELTA-4,2025-03-12 05:00:00,N/A,71.6,offline,50.7,
300,bravo-2,2025-03-12 05:54:00,7.5,26.0,offline,63.4,
301,ALPHA-1,12/03/2025 06:33,22.1,61%,OK,59.6,
302,ALPHA-1,2025-03-12 07:54:00,27.9 C,69%,DEGRADED,56.5,indoor
303,alpha-1,12/03/2025 08:38,17.2,22%,Offline,30.3,indoor
304,BRAVO-2,2025-03-12 10:05:00,8.6,63%,Degraded,89.7,indoor
305,CHARLIE-3,2025-03-12T10:48:00,6.7 C,52%,OK,60.8,
306,DELTA-4,12/03/2025 11:46,,26%,Offline,13.8,outdoor
307,bravo-2,2025-03-12 13:02:00,13.5 C,-999,Offline,43.8,
308,alpha-1,2025-03-12T14:07:00,25.3 C,54.4,OK,34.8,Outdoor
309,CHARLIE-3,12/03/2025 15:19,16.7,-999,OK,92.6,
310,CHARLIE-3,2025-03-12T15:50:00,22.7,48%,ok,73.9,
311,DELTA-4,2025-03-12T17:05:00,10.7 C,-999,ok,21.1,indoor
312,BRAVO-2,2025-03-12T18:04:00,19.9,83%,DEGRADED,78.2,
313,alpha-1,2025-03-12 18:47:00,17.3 C,22.8,Offline,50.7,outdoor
314,DELTA-4,12/03/2025 19:18,11.7,33.3,Offline,91.5,outdoor
315,DELTA-4,2025-03-12 20:21:00,17.9,29.3,ok,46.7,
316,DELTA-4,12/03/2025 21:51,7.6,80%,ok,90.0,Outdoor
317,CHARLIE-3,2025-03-12T22:50:00,,30%,OK,42.8,
318,DELTA-4,13/03/2025 00:08,N/A,84%,DEGRADED,51.3,outdoor
319,BRAVO-2,2025-03-13 00:45:00,18.7 C,53.7,DEGRADED,44.1,outdoor
320,bravo-2,2025-03-13 01:40:00,13.2,79%,OK,44.8,Outdoor
321,CHARLIE-3,13/03/2025 02:06,25.5,47%,OK,9.6,Outdoor
322,CHARLIE-3,2025-03-13 02:58:00,15.6,85.7,ok,98.1,Outdoor
323,BRAVO-2,13/03/2025 04:16,13.7,22.7,Degraded,69.7,indoor
324,ALPHA-1,13/03/2025 05:19,2.5,61.2,ok,64.2,
325,CHARLIE-3,2025-03-13T06:45:00,17.1 C,77%,OK,21.3,Outdoor
326,alpha-1,2025-03-13T07:14:00,13.3,72%,ok,86.0,Outdoor
327,bravo-2,2025-03-13 08:25:00,15.2 C,35.5,Offline,13.7,indoor
328,ALPHA-1,2025-03-13T09:21:00,N/A,69%,Offline,96.2,Outdoor
329,BRAVO-2,2025-03-13 10:23:00,19.4,43.2,ok,10.6,outdoor
330,ALPHA-1,2025-03-13 11:15:00,14.6,91.6,DEGRADED,90.9,outdoor
331,CHARLIE-3,13/03/2025 12:20,10.2,64.9,ok,48.1,indoor
332,bravo-2,2025-03-13T13:41:00,20.0 C,90%,Offline,57.2,
333,bravo-2,2025-03-13 14:25:00,13.9,92.2,offline,10.6,Outdoor
334,DELTA-4,2025-03-13 15:26:00,4.4,35%,OK,59.7,
335,alpha-1,2025-03-13T16:37:00,18.7,-999,DEGRADED,97.6,outdoor
